Reactor Temperature,Reactor Pressure,CH4 mole flow,CO Mole Frac,H2 Mole Frac,CH4 Mole Frac,H2O Mole Frac
1667.43,475.106,306.90264,0.178273279,0.56976776,0.071178357,0.182391669
1490.55,269.42,394.80672,0.173979172,0.549927974,0.13496832,0.159315605
1307.07,416.889,198.71808,0.074842109,0.240783807,0.194788362,0.514246506
1329.12,361.92,273.88416,0.081229388,0.274444953,0.241404302,0.407259354
1499.1,475.79,90.78784,0.061415509,0.208505378,0.079791259,0.656880962
1641.6,284.886,184.43304,0.177743199,0.553037237,0.013402212,0.267520094
1442.28,437.64,368.92416,0.119744181,0.374545485,0.217316468,0.282433159
1533.06,307.426,142.26784,0.119051122,0.379467715,0.049238572,0.450867197
1839.06,455.712,321.40416,0.189889429,0.618519438,0.059397847,0.137155407
1719.12,378.576,420.78212,0.177109858,0.576255705,0.134606234,0.131213595
1393.59,545.895,242.86988,0.085153386,0.290633547,0.187258025,0.429102812
1418.82,302.43,363.16368,0.119286116,0.380996858,0.201312942,0.287692267
1707.91,425.32,164.79936,0.145569508,0.464870411,0.039027641,0.376086692
1822.59,372.504,63.19368,0.052777173,0.181961439,0.052140396,0.709279155
1587.23,487.619,252.75096,0.13604151,0.442562834,0.126522329,0.290735025
1392.7,379.62,221.6214,0.130798093,0.406550854,0.114986604,0.388982787
1766,526.358,392.70528,0.192985538,0.556379781,0.106648883,0.13211135
1583.68,317.664,297.66528,0.168068674,0.516706872,0.08884864,0.199720199
1355.48,444.98,117.6714,0.070268689,0.219805187,0.096388915,0.603978288
1361.85,353.08,149.204,0.088010105,0.274254408,0.122619305,0.549761478
1676.85,453.15,357.62012,0.153414514,0.462595069,0.143815047,0.224935699
1712.06,408.2,245.72196,0.178127217,0.575879482,0.038403478,0.207230419
1389.12,529.329,48.69788,0.027174652,0.106538554,0.068235161,0.786652329
1461.12,373.8,412.57216,0.146424596,0.488050378,0.178745183,0.207034227
1876.66,495.961,190.75584,0.168761125,0.557638522,0.024350045,0.275418786
1588.4,295.947,96.71288,0.093812075,0.272042182,0.055279515,0.593226161
1317.12,424.896,303.65808,0.102699679,0.307942033,0.21846885,0.369305654
1267.3,379.27,72.68404,0.052153488,0.181726692,0.079084541,0.670970936
1715.7,507.36,267.47336,0.168292835,0.513577086,0.094727486,0.251399982
1730.48,309.408,371.932,0.217383423,0.645973514,0.05306155,0.105026832
1498.84,464.398,172.19268,0.122802074,0.375453578,0.092493298,0.404897674
1451.27,285.021,312.75904,0.128585946,0.414107857,0.175381176,0.298278407
1777.36,412.638,128.16496,0.111901564,0.344516495,0.059734928,0.464979604
1559,356.6,212.2604,0.157397575,0.476704515,0.07246468,0.30716654
1221.23,518.805,404.57472,0.067905419,0.225303826,0.341580076,0.35608173
1289.28,384.6,209.3344,0.072567811,0.237900317,0.202604553,0.485511977
1595.28,537.763,418.352,0.146086953,0.454327581,0.185750399,0.215345393
1714,331.59,335.3196,0.206374188,0.602559229,0.055768768,0.146558357
1414,466.899,127.4196,0.0921427,0.28963561,0.089123591,0.55184149
1414.55,295.47,383.60608,0.152426432,0.469285848,0.163007166,0.215191795
1824.78,439.845,175.97756,0.160489814,0.520726338,0.024700647,0.317742911
1589.83,339.694,73.28904,0.06013994,0.18119031,0.062322333,0.697920742
1298.83,463.315,261.75644,0.090423117,0.281422462,0.214359975,0.408970378
1404.54,323.01,96.58,0.077688631,0.251513443,0.067279819,0.61973304
1643.46,461.09,288.6884,0.173219547,0.521950969,0.0859366,0.213992313
1827,421.89,393.58,0.200891703,0.633861013,0.063665408,0.092570535
1557.54,517.728,199.4916,0.130949741,0.407155216,0.097202273,0.360163336
1422.96,385.77,240.1784,0.126886423,0.397826026,0.129618666,0.343838429
1699.44,514.998,48.9632,0.03495687,0.119541366,0.051831217,0.793144328
1602,289.642,149.0016,0.139938216,0.417002989,0.031006467,0.40489785
1367.1,436.1,354.4024,0.081815274,0.278123727,0.277517507,0.367623684
1333.2,301.056,300.84824,0.105446224,0.316384401,0.209609735,0.35699281
1668.6,462.488,111.16776,0.089769607,0.288216032,0.077146468,0.56981603
1770,357.2,218.3874,0.190301621,0.552260764,0.01961456,0.245852691
1411.2,539.175,397.86824,0.123890992,0.371651162,0.221702833,0.255556173
1545,393.984,57.10848,0.039924242,0.135357066,0.063423067,0.761924203
1808.1,553.379,254.91312,0.183556455,0.610374239,0.032250048,0.197409923
1745.85,327.936,374.3124,0.187372722,0.556898785,0.080846359,0.14639533
1339.2,455.145,163.24264,0.094229195,0.29704369,0.115391373,0.47688946
1290.1,369.564,452.2518,0.110932038,0.320735874,0.26346406,0.268566426
1591.68,496.3,232.716,0.160075074,0.493732657,0.06657411,0.26593684
1808,301.6,127.0302,0.143234963,0.44108838,0.027449683,0.397270496
1432.6,448.875,315.1302,0.136194645,0.425010142,0.167414697,0.256670055
1433,330.888,174.0552,0.123604254,0.388920291,0.099354698,0.420501712
1767.66,475.757,388.84032,0.193969527,0.548215029,0.094439397,0.143858986
1630.49,389.268,285.03816,0.164632952,0.516984938,0.097030259,0.25850721
1283,551.928,83.37384,0.049705163,0.156494925,0.092602468,0.704537162
1273,320.845,432.7554,0.093273672,0.29131887,0.3152862,0.342895723
1651.65,431.04,218.43096,0.155067646,0.434307596,0.079929794,0.316783158
1705.77,387.906,118.60244,0.105382237,0.309434585,0.059262291,0.515680852
1408.77,528.156,303.75356,0.112946996,0.348012393,0.21550974,0.325292423
1527.96,338.982,161.35504,0.131712809,0.409657819,0.064576794,0.413029595
