TI831061A,TI831061B,TI831060A,TI831060B,XSI831090,XSI831091,XSI831092,LSI831010,LSI831011,LSI831012,PZI831003,PZI831004,PZI831005,TI831001,FI821002,PI821019,TSI821017,TSI821018,TSI821019,PZI831006,PZI831007,PZI831008,TI831002,TI831063A,TI831063B,TI831062A,TI831062B,VSI831091A,VSI831091B,VSI831090A,VSI831090B,SZI831090,TI831064A,TI831064B,VSI831092B,VSI831093A,VSI831093B,TI831065A,TI831065B,PX8310_1_NM1/NUM1.PV,PSI831047,PSI831048,PSI831049,TSI831042,TSI831043,TSI831044,OutsideTemperature,VSI831092A
60.9,63.6000023,64.6,61.3,-0.014562488,-0.011650026,0.005475044,207.265,197.76123,195.86,17.3179684,17.3440628,17.34422,305.121521,127.451256,49.2578163,417.8375,418.181244,418.103119,4.61325,4.6435,4.63295,184.027771,82.4,83.7000046,87.1,76,16.7825,20.22625,26.5549984,20.025,6178.3584,83.4,82.2000046,5.5925,8.48125,8.8575,86.6,86.2000046,0,2.113025,2.093,2.087175,46.16125,45.998127,46.19625,26.21875191,5.86875
60.9,63.6000023,64.7000046,61.4,-0.012937486,-0.010837495,0.006700039,196.355,184.880478,185.26,17.3331261,17.35422,17.3595314,304.6875,128.044235,49.9537048,417.025,417.465637,417.493774,4.636,4.6745,4.6623,184.606476,82.4,83.7000046,87.6,75.9,16.741251,20.02375,26.18875,19.74,6178.3584,83.5,82.2000046,5.55250025,8.685,8.735001,86.6,86.2000046,0,2.1122,2.094625,2.09045,46.16125,45.9575,46.1756248,25.91249847,5.8275
60.9,63.6000023,64.7000046,61.4,-0.012937486,-0.010437489,0.006700039,226.640015,217.973877,218.534988,17.328125,17.359375,17.3595314,305.555542,128.707809,49.65278,418.853119,419.0969,419.021881,4.6344,4.67285,4.6639,185.648148,82.3,83.7000046,87.2000046,75.9,17.19,20.34875,26.51375,20.025,6176.765,83.6,82.3,5.55250025,9.1325,8.89875,86.6,86.2000046,0,2.110575,2.09545,2.09045,46.2018776,45.998127,46.1756248,26.13125229,5.95125
60.9,63.6000023,64.7000046,61.4,-0.014150024,-0.011650026,0.005887508,332.165,335.683655,335.97,17.3484383,17.3746872,17.3748436,304.832184,128.260681,49.57755,418.243744,418.4875,418.512482,4.6572,4.6794,4.6851,184.837967,82.3,83.6,87.3,75.9,16.945,20.02375,26.51375,20.06625,6176.765,83.5,82.3,5.5925,8.72625,8.940001,86.6,86.2000046,0,2.1114,2.09545,2.0888,46.1818771,45.998127,46.135,26.65312576,5.8275
60.8,63.5,64.8,61.4,-0.013750017,-0.011250019,0.006287456,445.664978,457.793579,458.79,17.34328,17.3798428,17.385,305.2662,128.147415,49.6903954,418.040619,418.384369,418.512482,4.6409,4.68105,4.6737,185.069443,82.3,83.7000046,87.3,75.9,16.945,20.02375,26.18875,19.82125,6172.082,83.6,82.3,5.51125,8.48125,8.53125,86.6,86.2000046,0,2.10895,2.0922,2.0888,46.2018776,45.998127,46.1556244,27.29062462,5.74624968
61,63.8,64.5,61.3,-0.016600013,-0.014100015,0.003025055,437.685,450.296875,450.960022,17.328125,17.3492184,17.3543758,303.674774,129.5601,49.6339722,414.990631,415.3219,415.25,4.62625,4.66475,4.65415,183.912033,82.3,83.7000046,87,76,16.415,19.69875,26.35125,19.9849987,6170.489,83.6,82.4,5.5925,8.645,8.735001,86.7000046,86.3,0,2.110575,2.0922,2.089625,46.2425,46.0393753,46.2368774,27.75937653,5.7875
61,63.7,64.6,61.4,-0.013337493,-0.011250019,0.005475044,424.17,433.665283,434.65,17.3739071,17.3848438,17.385,304.1088,128.3047,49.5963554,416.818726,417.262482,417.2875,4.6686,4.6435,4.62155,183.680557,82.4,83.7000046,87.3,75.9,16.5775,20.105,26.18875,19.94375,6172.082,83.6,82.4,5.5925,8.645,8.65375,86.7000046,86.3,0,2.10895,2.09055,2.0888,46.2631264,46.0393753,46.2368774,28.38124847,5.8275
61.3,64.4,64.2000046,61.2,-0.020662487,-0.017362475,-0.001462519,414.725,424.210754,421.275,17.3789063,17.400156,17.4003124,300.491882,129.687637,49.9160919,413.971863,413.9969,414.228119,4.6409,4.67775,4.6688,181.134262,82.5,83.7000046,87.3,76.1,16.70125,20.22625,26.06625,19.69875,6173.627,83.7000046,82.5,5.43,8.685,8.735001,86.8,86.4,0,2.10895,2.09055,2.0888,46.3649979,46.1206245,46.31875,29.69062614,5.8275
61.5,64.1,64.1,61.4,-0.017412484,-0.01613748,0.000587463,403.490021,411.33,411.16,17.36875,17.39,17.395155,305.555542,130.77124,49.5399323,418.853119,419.403137,419.225,4.6295,4.67125,4.6525,185.416656,82.3,83.8,86.7000046,76.3,16.415,20.02375,26.59625,19.9037514,6178.3584,83.6,82.4,5.43,8.60375,8.5725,86.8,86.4,0,2.1065,2.0881,2.0839,46.4462471,46.2431259,46.44125,30.63749886,5.7875
61.5,64.2000046,64.3,61.5,-0.01781249,-0.016962528,0.000587463,391.11,397.475281,397.625,17.3331261,17.369688,17.369688,304.832184,129.904968,49.5587425,417.8375,418.181244,418.103119,4.6393,4.6794,4.66555,184.490738,82.5,83.9,87,76.3,16.375,20.105,26.4324989,19.6575,6175.22,83.9,82.7000046,5.43,8.8075,8.89875,86.9,86.5,0,2.104075,2.0873,2.082275,46.58875,46.3656235,46.56375,31.40312386,5.74624968
