slide valve %,vibration motor mm/s,discharge pressure bara,discharge temperature degC,suction pressure bara,suction temperature degC,cooling water temperature degC,cooling water return temperature degC,cooling water flow m3/h,cooling water header pressure barg,chilled water return temperature degC,chilled water supply temperature degC,motor current,motor bearing DE temperature degC,motor bearing NDE temperature degC,Motor Stator Temperature degC,Motor Stator Temperature degC_2,Motor Stator Temperature degC_3,Oil Pressure bara,Oil Pressure bara_2,Oil Temperature degC,OutsideTemperature
98.4253,1.0068,12.8997,70.8579,5.2548,6.6449,28.0951,30.8311,1322.3664,4.9942,22.5752,16.2492,23.0356,60.6464,43.001,77.5762,76.1193,76.8429,16.1956,11.373,52.7915,27.4488
95.7935,0.9116,12.4111,69.8227,5.5777,7.5042,28.0128,31.1897,1323.7469,4.9938,22.7256,17.1569,17.0447,60.6264,42.7908,77.4583,75.9479,76.5614,15.829,11.0038,52.1797,27.4563
98.0357,0.9047,12.8023,67.7933,5.2584,6.7695,28.1229,30.974,1328.3128,4.9935,23.0927,17.4722,22.9458,60.4395,42.4836,77.5002,76.1636,76.5171,16.1688,11.2869,52.8852,27.1951
99.8924,1.0001,12.8813,71.2764,5.2359,6.4463,28.0383,30.8603,1321.1153,4.994,23.8871,16.8967,22.8489,60.7127,43.2252,77.5026,76.4381,76.5984,16.2838,11.4084,52.5682,26.4831
98.9221,0.7891,12.823,69.663,5.2576,6.4909,28.0503,30.9081,1319.0722,4.9946,24.1017,16.9456,22.3894,60.567,42.3384,77.5416,76.3805,76.6438,16.198,11.3004,52.4169,26.7345
98.4284,0.7911,12.897,68.7921,5.2502,6.4663,27.9821,30.7847,1318.2011,4.9935,24.0548,17.4879,22.8707,60.0805,42.1833,77.435,75.9214,76.5826,16.268,11.3873,52.9422,26.3921
97.3389,0.7975,12.6995,71.5556,5.3133,6.2122,27.9018,30.6986,1314.4772,4.9931,23.4185,17.0417,18.5314,60.1812,42.0937,77.4328,75.8821,76.4124,15.9966,11.2097,52.7188,26.7201
99.5892,0.8949,12.6821,69.9096,5.2968,6.4961,28.0603,30.9166,1317.7628,4.9942,24.1161,17.0597,22.2922,59.5152,42.0453,76.7566,75.4631,75.9005,16.0324,11.2358,52.2663,26.458
98.125,0.8984,12.6915,68.445,5.2892,6.4943,28.0533,30.5274,1314.963,4.9935,24.6766,17.6241,21.7646,59.3957,41.7189,77.1888,75.4675,76.0125,16.2004,11.1962,52.7361,25.6569
98.0091,0.8005,12.283,70.3563,5.5745,6.7712,28.0045,30.4322,1318.6749,4.9925,23.8946,17.9218,17.3576,59.0835,42.16,77.1058,75.1048,75.982,15.6045,10.8143,51.8827,24.7395
98.8626,1.0044,12.1967,65.4851,5.5863,7.5297,27.5634,30.3082,1325.0215,4.9941,24.2409,18.4069,18.5755,58.5259,40.8885,75.6026,74.5098,75.0729,15.3754,10.5744,51.1568,24.2587
99.6707,0.8994,12.5328,65.9902,5.2951,7.0518,27.1987,29.6027,1313.4566,4.9933,25.4115,18.268,21.3889,58.3141,40.5398,75.5172,74.0692,74.5312,15.788,10.981,51.2766,24.2793
