TI831061A,TI831061B,TI831060A,TI831060B,PZI831003,TI831001,FI821002,PI821019,TSI821017,PZI831006,TI831002,TI831063A,TI831063B,TI831062A,TI831062B,VSI831091A,VSI831091B,VSI831090A,VSI831090B,SZI831090,TI831064A,TI831064B,VSI831092B,VSI831093A,VSI831093B,TI831065A,TI831065B,PSI831047,TSI831042,OutsideTemperature
65.71018219,68.92946625,65.09562683,61.28658676,13.58986664,278.7904968,127.991394,49.12818146,414.6394958,4.800272942,150.4893646,82.00201416,89.20178986,86.79902649,82.09642792,14.76556396,18.13510132,27.24546242,25.87581825,6176.412598,85.52214813,92.5189209,6.719247341,11.61024284,9.095525742,90.14698029,86.55404663,2.081431627,47.22878265,24.24220657
65.76059723,69.07621765,65.03179932,61.24214172,13.65965843,278.0756531,128.7855682,49.36192703,413.8968201,4.819016933,149.7666473,81.994133,89.26472473,86.85405731,82.04425049,14.52957916,17.64519882,27.34505653,25.64929199,6177.491699,85.71261597,92.61454773,6.645969868,10.20880699,8.410977364,90.17778778,86.54208374,2.079546928,47.22120667,24.23709869
65.70000458,69.36318207,65.0117569,61.20863724,13.79874992,277.0954895,130.2475128,49.11154175,412.4241333,4.804609776,148.6697235,81.90841675,89.21135712,86.51113892,82.02397156,14.44864559,17.40941238,27.48557281,25.32180595,6177.749512,85.98828125,92.87038422,6.648071766,10.15449524,8.372544289,90.45693207,86.76626587,2.081656694,47.17936707,24.17033958
65.78012085,69.46569824,65.05555725,61.21204376,13.71780777,277.5198975,129.2888641,48.82762527,413.5566101,4.800903797,149.3760376,81.90379333,89.22096252,86.45890045,82.03651428,14.60347939,17.36034966,27.72608185,25.18646049,6179.76416,85.72701263,92.70691681,6.648039341,10.43067837,8.385682106,90.2365036,86.57781219,2.08161974,47.23907471,23.98265266
65.70117188,69.27454376,65.09934998,61.31282806,13.72947407,277.7843323,129.5256805,48.99450302,413.9861755,4.812146187,149.9398804,81.97696686,89.30000305,86.58803558,82.09723663,14.28647709,17.54330063,27.36795044,25.50374222,6178.498535,85.8467865,92.72022247,6.661473274,10.15911102,8.413234711,90.29779816,86.64537811,2.083995819,47.23550034,24.2399044
65.77037811,69.03835297,65.1399231,61.36737442,13.79337025,278.4563599,130.2294312,48.90198517,414.1379395,4.806241512,149.986084,81.94525909,89.21517181,86.32592773,82.08086395,14.31390381,17.51221275,27.67185402,25.6981411,6175.500977,85.81114197,92.88767242,6.622395992,11.26730251,9.252774239,90.45265961,86.72223663,2.084525108,47.22126389,24.2402401
65.77633667,68.95669556,65.19302368,61.45040131,13.79968834,278.0938721,130.1061096,49.21496964,413.8166809,4.821725368,149.9091949,82.04830933,89.40045166,86.65618134,82.090065,14.33623314,17.98630905,27.40968704,25.5769558,6177.488281,85.93212891,92.8144989,6.580365658,10.31728554,8.404121399,90.49385834,86.73387909,2.081801891,47.24190903,24.39006042
65.73783112,69.02108002,65.11857605,61.40777588,13.68227005,277.7399292,129.1065521,49.20526123,413.3373718,4.797065735,149.3018341,82.00566101,89.39949036,86.90000153,82.11062622,14.8298521,17.82445335,27.53143501,25.56381989,6180.76123,85.82958221,92.5786972,6.697706223,10.15933323,8.469501495,90.17605591,86.6654129,2.081418753,47.36655045,24.31481552
65.85256195,69.27183533,65.06274414,61.32985687,13.61384201,277.1009521,128.4481201,49.11702728,412.8634033,4.80304575,149.095047,81.99542236,89.28857422,86.82550812,82.12095642,14.47369194,17.94118309,27.68087006,25.9114399,6180.001465,85.6988678,92.47954559,6.715257168,10.39087772,8.508634567,90.01011658,86.49072266,2.085041285,47.28529739,24.5167408
65.83921051,69.48977661,65.0056076,61.30982208,13.62078094,277.1243896,128.496582,48.90156937,413.0998535,4.824716091,149.4559326,81.90718842,89.21946716,86.7639389,82.08442688,14.73698807,17.85469246,27.83209038,25.75069618,6182.993164,85.59194946,92.31689453,6.61652565,10.29776669,8.989466667,89.9306488,86.342453,2.081556559,47.26447296,24.51698685
65.89461517,69.45080566,65.09060669,61.32817078,13.64162731,277.422699,128.6316223,49.00372696,413.6493225,4.804111481,149.6591034,81.97603607,89.16259003,86.74423981,82.06169891,14.75788307,17.46351433,27.64211082,25.15188026,6181.443359,85.60164642,92.50541687,6.634253502,11.1804781,9.196726799,90.09038544,86.57079315,2.082074642,47.26089478,24.83239174
65.81330109,69.40000153,65.04077148,61.34651947,13.67049122,277.7145386,128.8119049,48.97642136,413.6018066,4.813018799,149.8040466,81.96569824,89.2855835,86.66906738,82.03897095,15.22033405,17.65093803,27.45408249,25.59966469,6183.348145,85.64774323,92.58435822,6.653659821,10.57742691,8.739712715,90.05096436,86.54798126,2.084682226,47.26610565,25.00903511
65.77013397,69.25672913,65.08106232,61.36486816,13.71724701,277.9204407,129.1251984,49.12725449,413.7180176,4.82490015,149.8846436,81.93460846,89.23922729,86.71512604,82.01624298,14.90945148,18.04135895,27.83102608,25.39367867,6178.458008,85.85426331,92.68883514,6.706485271,10.27094555,8.399273872,90.21108246,86.66064453,2.079009295,47.24199677,24.51923943
65.75293732,69.08067322,65.11078644,61.38321686,13.74464512,277.6538696,129.58638,48.93439102,413.2378845,4.825144291,149.7960358,81.9523468,89.10627747,86.50045013,82.02548981,14.22518349,17.44986534,27.40221024,25.04144478,6166.871094,85.76144409,92.78653717,6.580788136,9.930170059,8.182973862,90.29497528,86.66279602,2.083649635,47.28262711,24.49871635
65.80000305,69.10321808,65.19781494,61.39174652,13.66631126,278.0099792,128.6923523,49.07388306,414.2599182,4.816295624,150.0316162,81.98872375,89.29069519,86.7481842,82.15084839,14.77902126,18.68880653,27.79697037,25.90725327,6169.983887,85.786026,92.6267395,6.561644554,9.961352348,8.630430222,90.19514465,86.60295105,2.079649925,47.30857468,24.43657875
65.73027802,69.15009308,65.08837128,61.30519867,13.72303677,277.6707153,129.376709,49.09061432,413.5176392,4.804592133,149.4437103,81.90538788,89.21984863,86.61880493,82.06385803,14.70740318,17.6505909,27.41843033,25.21956062,6178.046875,85.94799805,92.74449921,6.535467625,10.33443737,8.322217941,90.30699921,86.79953003,2.077759027,47.3305397,24.52867508
