slide valve %,vibration motor mm/s,discharge pressure bara,discharge temperature degC,suction pressure bara,suction temperature degC,cooling water temperature degC,cooling water return temperature degC,cooling water flow m3/h,cooling water header pressure barg,chilled water return temperature degC,chilled water supply temperature degC,motor current,motor bearing DE temperature degC,motor bearing NDE temperature degC,Motor Stator Temperature degC,Motor Stator Temperature degC_2,Motor Stator Temperature degC_3,Oil Pressure bara,Oil Pressure bara_2,Oil Temperature degC,OutsideTemperature
100,0.8,13,68.7000046,5.22,6.400001,28.4614143,31.2533379,1317.99084,4.978351,15.2000065,10.6,22,60.0000038,47.5,76.4,75.2,75.8,16.4,11.5,51.1000023,30.93749809
89,0.900000036,12.6,72.5,5.5,7.300001,28.38035,31.5609035,1312.79126,4.978351,15.100008,11.2999973,17,60.8,47.7,76.9,75.8,76.3,15.9,11.2000008,51.9000053,30.49062538
89,0.900000036,12.6,71.8,5.52,6.90000057,28.38035,31.5847454,1321.79126,4.978351,15.2000065,11.1,17,61,47.6000023,77.3,76.1,76.6,16,11.2000008,51.1999969,29.83124924
84,0.6999999,12.6,68.9,5.56999969,7.499999,28.38035,31.684885,1318.8252,4.978351,15.100008,11.2999973,17,61.6,47.1,77.7000046,76.3,76.8,16,11.1,51.4000053,29.53437614
100,0.8,13,73.09999,5.22999954,6.099999,28.5186348,31.6467342,1327.54163,4.978351,15.100008,10.3999977,22,62,46.5,77.7000046,76.3,76.9,16.3000011,11.5999994,51.8,29.22812462
100,0.8,13,70.9,5.29,6.800002,28.5186348,31.3034058,1321.50708,4.978351,15.4999971,10.9000025,21,62.1999969,46,77.7000046,76.3,76.8,16.3000011,11.5,51.1000023,28.89999962
100,0.8,12.9,68.1,5.2699995,7.4,28.5186348,31.2867165,1324.95288,4.978351,15.4000044,11.4000025,22,62.1999969,45.6,77.7000046,76.3,76.9,16.3000011,11.5,51.5,28.89687347
94,0.8,12.9,73.7,5.18999958,6.099999,28.4900246,31.7111111,1327.40015,4.978351,14.9999981,10.2,19,62.4,45,77.7000046,76.3,76.9,16.1,11.3,51.9000053,28.24374962
99,0.900000036,13,70.7999954,5.27999973,7.099998,28.4900246,31.4106979,1323.57556,4.978351,14.9999981,10.9000025,21,62.4,44.7,77.7000046,76.3,76.8,16.3000011,11.5,51.4000053,27.92812538
100,0.8,12.7000008,67.99999,5.49,7.4,28.4900246,31.6920376,1327.683,4.978351,15.2000065,11.2999973,22,62.4,44.4,77.7000046,76.3,76.8,16.3000011,11.5,52,27.83125114
85,0.900000036,12.6,72.8,5.56999969,6.999999,28.4900246,31.6371975,1323.43372,4.978351,15.2000065,11.1999989,17,62.3000031,44.4,77.6000061,76,76.6,16,11.1,51.5,27.875
85,0.900000036,12.6,71.4,5.56,6.90000057,28.4900246,31.6252766,1326.0658,4.978351,14.9999981,11.2999973,17,62.1,44.2,77.5,76,76.6,15.9,11.1,51.1999969,27.47187614
88,1,12.6,68.2999954,5.51,7.499999,28.4900246,31.5513649,1315.5874,4.99361038,14.9999981,11.500001,17,61.6999969,43.8,77.4,76,76.5,15.9,11.1,51.9000053,27.22500038
92,0.900000036,12.9,72.6,5.30999947,6.400001,28.4637985,31.45123,1325.82324,4.99361038,15.100008,10.5000019,19,61.4,43.6,77.2000046,75.6,76.3,16.3000011,11.2000008,51.5,26.60937691
85,0.8,12.5,69.7000046,5.52999973,7.499999,28.4637985,31.2509537,1325.86353,4.99361038,15.100008,11.4000025,17,61.3,43.2,76.9,75.4,75.9,15.9,11,51,26.60625076
100,0.900000036,12.9,67.7000046,5.29,6.5,28.4637985,31.0387573,1320.10571,4.99361038,15.4999971,10.6999989,21,61,43,76.5,75.1,75.7000046,16.3000011,11.4,51,27.00000191
100,1,12.9,70.9,5.24,6.59999847,28.0513287,30.8742466,1322.23755,4.99361038,15.4000044,10.7999983,22,60.7,42.8,76.3,75,75.5,16.2,11.4,50.8999939,27.19687462
85,0.900000036,12.4,69.6,5.56999969,7.499999,28.0513287,31.1841965,1323.85938,4.99361038,15.2000065,11.1999989,16,60.5,42.8,76.3,74.9,75.5,15.8000011,11,50.8000031,27.43437576
100,0.900000036,12.8,67.7000046,5.25999975,6.699997,28.0513287,30.9004726,1328.24866,4.99361038,15.4000044,11.0000019,22,60.5,42.8,76.4,75,75.5,16.2,11.3,51.4000053,27.40312576
100,1,12.9,71.2000046,5.25,6.5,28.0513287,30.8456364,1320.61365,4.99361038,15.4999971,10.7999983,22,60.5,43,76.4,75,75.5,16.3000011,11.4,51,26.69687653
100,0.8,12.8,69.2999954,5.25999975,6.5,28.0513287,30.9195461,1319.45544,4.99361038,15.5999956,10.6999989,21,60.5,42.5,76.4,75,75.5,16.2,11.3,50.6000061,26.60000038
100,0.8,12.9,68.9,5.25999975,6.5,28.0179462,30.7979488,1317.76709,4.99361038,15.4999971,10.5000019,22,60.1000023,42.3,76.1,74.6,75.1,16.3000011,11.4,51.4000053,26.28437614
93,0.8,12.7000008,71.4,5.31999969,6.300002,28.0179462,30.7693386,1313.97571,4.99361038,15.2000065,10.6,18,60.1000023,42.2,76,74.5,75.1,16,11.2000008,50.8999939,26.35937691
100,0.900000036,12.7000008,69.9,5.29,6.5,28.0179462,30.87663,1317.80774,4.99361038,15.3000059,10.6,21,59.8,41.8000031,75.8,74.2,74.8,16,11.2000008,50.3999939,26.29062462
100,0.900000036,12.7000008,68.4,5.2699995,6.5,28.0179462,30.5309181,1315.77087,4.99361038,15.5999956,10.7999983,21,59.6000023,42.1,75.5,74.1,74.6,16.2,11.2000008,51,26.04374886
84,0.8,12.3,70.1,5.56999969,6.699997,28.0179462,30.44032,1318.90637,4.99361038,14.9999981,10.9000025,16,59.3,41.6000023,75.4,73.7999954,74.5,15.6,10.8,49.9,24.46875
92,1,12.2,65.4,5.6,7.499999,27.5601768,30.1637478,1324.52771,4.99361038,15.2000065,11.500001,17,58.4999962,40.7,74.6,73.1,73.7,15.4,10.5999994,49.4,24.515625
99,0.900000036,12.5,65.9,5.29,7.099998,27.173933,29.5891533,1313.46533,4.99361038,15.4000044,10.7999983,20,58,40.5,73.7999954,72.2999954,72.7999954,15.8000011,11,49.5,24.37812614
